category_id,views,likes,dislikes,comment_count,likeratio,dislikeratio,commentratio
1,158815,218,30,186,0.0013726663098573813,0.00018889903346661207,0.001171174007492995
1,308568,19541,70,495,0.06332801845946437,0.00022685437245599022,0.0016041844909387881
1,1096327,33966,798,882,0.030981632304960108,0.0007278850197067116,0.0008045044954653128
1,458964,4903,392,1289,0.010682755074472071,0.0008540974891276875,0.002808499141544871
1,2736733,58967,3492,7915,0.02154649357463808,0.0012759739441151182,0.0028921345268245018
1,264577,487,5,48,0.001840673981487431,1.8898090159008525e-05,0.0001814216655264819
1,183670,10020,355,590,0.05455436380464964,0.0019328142864920785,0.003212282898676975
1,32941,149,2,5,0.0045232385173492,6.07146109711302e-05,0.00015178652742782548
1,125273,3897,36,481,0.031108059996966624,0.0002873723787248649,0.0038396142824072225
1,1032547,34751,1305,7375,0.033655610834179936,0.0012638649862911806,0.007142532010649394
1,119437,184,33,267,0.0015405611326473369,0.00027629629009435944,0.0022354881653089075
1,829132,25110,316,3428,0.030284683259119174,0.0003811214619626308,0.004134444213949045
1,394709,25188,281,1345,0.0638141010212587,0.0007119168805373072,0.0034075736808636234
1,2671756,12699,505,1010,0.004753053796828752,0.00018901426627281832,0.00037802853254563664
1,1651358,41670,1410,1545,0.0252337772911749,0.0008538427161160693,0.0009355936144676078
1,157590,14465,79,5723,0.09178881908750557,0.0005013008439621803,0.03631575607589314
1,148959,3635,67,565,0.024402687987969844,0.0004497881967521264,0.003792990017387335
1,3979891,151850,2378,8079,0.03815431126128832,0.0005975038009834943,0.0020299550917349247
1,127747,156,50,292,0.0012211637063884086,0.00039139862384243864,0.002285767963239841
1,1496471,43974,2045,9442,0.02938513342390197,0.0013665483661226981,0.006309510842508809
1,520049,28187,452,1607,0.05420066186070928,0.0008691488686642991,0.0030900934335033807
1,1621002,49600,2917,2645,0.03059835829937285,0.0017995042572433594,0.001631706808504863
1,1251180,32186,455,4166,0.02572451605684234,0.0003636567080675842,0.0033296568039770462
1,128390,10890,83,2480,0.0848196900070099,0.0006464677934418569,0.019316146117298854
1,7889,220,0,3,0.027886931169983517,0.0,0.00038027633413613887
1,6659676,223822,4515,11792,0.033608541917054216,0.0006779609098100267,0.0017706567106267634
1,112990,128,33,432,0.0011328436144791574,0.0002920612443579078,0.003823347198867156
1,554732,15248,325,2055,0.027487146946633692,0.0005858684914517281,0.003704491538256311
1,2336528,6729,167,1286,0.00287991412899824,7.14735710421617e-05,0.0005503892955701793
1,323829,4131,262,385,0.01275673272004669,0.0008090689839390543,0.001188899079452427
1,575434,29299,514,1749,0.05091635183183475,0.0008932388423346552,0.0030394450102009963
1,1351046,33596,496,4344,0.02486665887023832,0.0003671229551029351,0.0032152865261434477
1,222825,15453,152,3303,0.0693503870750589,0.0006821496690227758,0.014823291820935712
1,205448,24121,621,2804,0.1174068377399634,0.0030226626688991862,0.013648222421245278
1,8291139,254160,5437,11910,0.030654413102952437,0.0006557603243655668,0.0014364733241114401
1,617545,7017,523,611,0.011362734699495584,0.0008469018452096609,0.0009894015820709422
1,3252728,10779,282,1949,0.003313833803502783,8.669645909525789e-05,0.0005991893573640343
1,182451,158,53,494,0.0008659859359499263,0.00029048895319839303,0.0027075762807548327
1,770478,18565,438,2482,0.024095431667094973,0.0005684782693341018,0.003221376859559909
1,3411918,70498,4985,3957,0.02066227851900309,0.0014610550429406568,0.0011597582356903068
1,596888,29736,523,1768,0.04981839139000952,0.0008762112825186634,0.0029620297275200712
1,418689,40628,1038,4520,0.09703622497844462,0.0024791671144930964,0.010795602463881306
1,57440,1216,40,1062,0.02116991643454039,0.0006963788300835656,0.018488857938718663
1,4746854,157941,2072,23205,0.0332727739256358,0.00043649962691079197,0.004888500889220524
1,9779219,283197,6202,13116,0.028959061045672464,0.0006342019746157642,0.0013412113993970275
1,1089539,12443,886,1174,0.011420426437236298,0.0008131879629825091,0.00107751994192039
1,258437,3040,242,1024,0.011763021548772042,0.0009363984259219848,0.0039622809427442675
1,4116378,13120,349,2394,0.0031872680302926504,8.478327306190053e-05,0.0005815792427226071
1,132510,150,44,266,0.0011319900384876612,0.000332050411289714,0.0020073956682514532
1,438038,24066,285,6422,0.054940438957350735,0.0006506284842867513,0.014660828512594797
1,832340,19480,462,2721,0.023403897445755342,0.0005550616334670927,0.003269096763341904
1,109029,1416,102,662,0.012987370332663787,0.000935530913793578,0.0060717790679543976
1,706353,19916,514,720,0.028195533961064792,0.0007276814850365184,0.0010193203681445396
1,9920833,262451,4684,35129,0.02645453259822033,0.000472137773108367,0.003540932500325325
1,528802,9828,375,1007,0.01858540625791884,0.0007091501166788326,0.0019043044466548922
1,10729515,300466,6613,13980,0.02800368888994516,0.0006163372715355728,0.0013029479897274016
1,1470325,17047,1215,1798,0.011594035332324486,0.0008263479162770136,0.0012228588917416216
1,122791,128,33,138,0.0010424216758557225,0.00026874933830655344,0.0011238608692819506
1,333924,3644,316,1285,0.010912662761586471,0.0009463231154394412,0.0038481810232268423
1,165139,3497,471,557,0.021176100133826654,0.002852142740358123,0.003372916149425635
1,604008,29409,366,7603,0.04868975245360989,0.0006059522390431915,0.012587581621435478
1,4251667,14290,375,2600,0.003361034624771884,8.820069869065475e-05,0.0006115248442552062
1,3098960,62490,2582,5730,0.02016482949118414,0.0008331827451790278,0.0018490074089371922
1,29113,446,18,249,0.015319616666094184,0.0006182804932504379,0.008552880156631058
1,62306,374,17,32,0.0060026321702564755,0.00027284691682983984,0.0005135941963855809
1,69110,282,18,21,0.004080451454203444,0.0002604543481406453,0.00030386340616408617
1,198718,2028,154,916,0.010205416721182782,0.0007749675419438601,0.004609547197536207
1,14478580,332272,6789,42047,0.022949211870224844,0.00046889957440577733,0.002904083135224587
1,1609627,22942,1590,2314,0.014252991531578434,0.0009878064918145632,0.0014376001396596849
1,1145941,15400,3484,3313,0.0134387372473801,0.0030402961409007967,0.002891073798738329
1,116258,118,32,184,0.0010149839150854134,0.0002752498752774003,0.0015826867828450516
1,453228,16036,159,509,0.035381750465549346,0.00035081680743466866,0.0011230550627940024
1,10003191,114960,6844,9965,0.011492332796604604,0.0006841816776266694,0.0009961821182860552
1,1751244,20010,1383,2130,0.011426163344456857,0.0007897243331026402,0.001216278257056127
1,151534,911,104,137,0.006011852125595575,0.0006863146224609657,0.0009040875315110801
1,52747,199,22,21,0.0037727264109807188,0.00041708533186721517,0.00039812690769143265
1,11362593,311332,6888,13985,0.02739973173376887,0.0006061996588278749,0.0012307930064906838
1,375616,3914,334,1325,0.010420216391208043,0.0008892059976145851,0.0035275387629919923
1,740800,29331,197,1530,0.03959368250539957,0.00026592872570194387,0.0020653347732181426
1,4328193,14934,390,2670,0.0034504006637411963,9.010688756254632e-05,0.0006168856148512786
1,17613871,369520,7892,45240,0.020978920533708915,0.00044805596680025643,0.002568430301323315
1,1043215,33389,587,4553,0.03200586648006403,0.0005626836270567428,0.004364392766591738
1,1902537,25343,1904,2708,0.013320634500143756,0.001000768973218392,0.0014233625942622929
1,1627849,20223,4632,4416,0.012423142441344376,0.0028454727680515823,0.0027127823280906275
1,918567,27054,779,4238,0.029452397048881574,0.0008480600761838821,0.0046137080909721346
1,116690,167,23,259,0.0014311423429599795,0.00019710343645556604,0.0022195560887822434
1,530628,17691,190,543,0.0333397408353875,0.00035806629126242866,0.0010233157692394672
1,15940901,149364,10549,12849,0.009369859332292448,0.0006617568229048032,0.0008060397589822558
1,115372,1834,50,395,0.015896404673577644,0.0004333807162916479,0.0034237076587040178
1,19999878,395711,8694,46761,0.019785670692591226,0.0004347026516861753,0.002338064262192
1,1586719,43567,927,5865,0.02745728764828555,0.0005842244278917693,0.003696306655431743
1,123949,106,23,232,0.0008551904412298606,0.00018556019007817727,0.0018717375694842235
1,1273343,32935,1209,5223,0.025864986888842992,0.0009494692317780834,0.004101801321403581
1,1984712,26021,1965,2811,0.013110718330921565,0.0009900680804066284,0.0014163263989939096
1,1803225,21804,4937,4723,0.012091669092875266,0.002737872423019867,0.0026191961624312
1,555995,18233,196,565,0.032793460372845085,0.00035252115576578927,0.0010161961888146478
1,95456,717,38,180,0.0075113141133087485,0.0003980891719745223,0.0018856855514582636
1,1861361,47240,1156,5700,0.025379278925474424,0.0006210509406826512,0.0030622753995597843
1,114798,107,32,208,0.0009320719873168523,0.00027875050087980624,0.0018118782557187407
1,22118673,410051,9540,45689,0.01853867996511364,0.0004313097806545628,0.0020656302482522345
1,1556203,36243,1570,5692,0.02328937805671882,0.0010088658099232557,0.0036576205032376884
1,2021002,26338,1987,2814,0.013032149399159428,0.0009831756722655397,0.00139237863198552
1,1921050,22530,5069,5172,0.011727961271179824,0.002638661148850889,0.0026922776606543297
1,60524,323,25,17,0.00533672592690503,0.0004130592822681912,0.00028088031194236995
1,43889,3117,21,507,0.07102007336690287,0.0004784798013169586,0.011551869488938002
1,135872,3069,214,292,0.022587435233160626,0.0015750117757889778,0.002149081488459727
1,133924,3251,47,441,0.02427496191870016,0.0003509453122666587,0.0032929123980765212
1,193922,149,47,233,0.000768350161405101,0.0002423654871546292,0.0012015140107878425
1,2181405,49608,1362,6094,0.022741306634943996,0.0006243682397353999,0.0027936123736765983
1,166736,7060,83,1038,0.042342385567603884,0.0004977929181460512,0.006225410229344593
1,103110,1344,30,186,0.013034623217922607,0.0002909514111143439,0.001803898748908932
1,55061,1088,62,820,0.01975990265342075,0.001126023864441256,0.014892573690997257
1,26072307,421289,11173,46619,0.016158485706692545,0.0004285389858289103,0.0017880657818274387
1,1862249,38626,1850,6017,0.020741587188394247,0.0009934224692831088,0.003231039458203495
1,68443,2600,47,261,0.03798781467790716,0.0006867028037929372,0.0038133921657437578
1,150755,1242,31,164,0.008238532718649464,0.00020563165400815892,0.0010878577824947762
1,480610,28920,202,6702,0.06017352947296144,0.00042029920309606536,0.013944778510642726
1,149582,147,50,214,0.0009827385648005775,0.00033426481795938016,0.001430653420866147
1,1239553,52071,2051,2523,0.04200788510051608,0.0016546287250323302,0.0020354111522460114
1,44892,217,23,41,0.00483382339837833,0.0005123407288603759,0.0009133030384032789
1,108464,1362,90,593,0.01255716182327777,0.0008297684024192359,0.0054672518070511865
1,2498437,51600,1555,6193,0.020652912200707883,0.0006223891176763712,0.0024787497143213943
1,171453,397,192,148,0.0023155033741025237,0.0011198404227397596,0.000863210325861898
1,243038,8641,106,1333,0.03555411087978012,0.00043614578790148037,0.005484739012006353
1,740906,22397,575,792,0.030229205864171705,0.0007760768572531467,0.0010689615146860737
1,1313418,112104,589,26583,0.08535287319040853,0.0004484482472449745,0.02023955816046377
1,131100,136,38,102,0.0010373760488176962,0.0002898550724637681,0.0007780320366132723
1,66173,400,5,16,0.00604476145860094,7.555951823251175e-05,0.0002417904583440376
1,669063,35492,251,8216,0.053047321403216136,0.0003751515178690198,0.012279860043075169
1,29244,337,21,199,0.011523731363698535,0.0007180960196963481,0.006804814662836821
1,284750,508,104,257,0.0017840210711150132,0.0003652326602282704,0.0009025460930640912
1,199087,2058,151,875,0.010337189269013045,0.0007584623807682068,0.004395063464716431
1,96253,357,42,68,0.003708975304665829,0.0004363500358430386,0.000706471486603015
1,1921959,62867,2754,3040,0.032709854892846314,0.0014329129809741,0.0015817194851711195
1,23362,78,15,45,0.0033387552435579144,0.0006420683160688298,0.0019262049482064887
1,1161106,27544,834,942,0.023722209686281876,0.0007182806737713871,0.0008112954372813507
1,1777325,131083,821,29878,0.0737529714599187,0.0004619301478345267,0.016810656464068194
1,139169,152,42,182,0.0010921972565729435,0.00030179134721094504,0.0013077625045807616
1,425418,14540,161,348,0.03417814949061864,0.00037845131141606614,0.0008180189836819317
1,1662159,78245,1101,7317,0.04707431719829451,0.0006623915040618858,0.004402105935713731
1,74896,431,44,42,0.005754646443067721,0.000587481307412946,0.0005607776116214483
1,153566,1074,18,31,0.006993735592513968,0.00011721344568459165,0.0002018676009012412
1,102126,562,53,20,0.005503006090515638,0.0005189667665432896,0.0001958365156767131
1,115793,1270,34,258,0.010967847797362536,0.00029362742134671346,0.002228113961983885
1,220091,365,85,423,0.001658404932505191,0.0003862038883916198,0.0019219322916430024
1,1080388,42666,597,4351,0.03949136791597093,0.0005525792585626644,0.0040272568743821655
1,1054285,28682,1835,4709,0.0272051674831758,0.001740516084360491,0.004466534191418829
1,148935,152,53,199,0.001020579447409944,0.00035585993889951985,0.0013361533554906502
1,1419031,63288,1670,7778,0.04459944849689683,0.0011768594202663648,0.005481205132234602
1,2022344,136578,950,30873,0.06753450451555225,0.00046975193142215167,0.015265948819785356
1,375368,16497,662,1896,0.04394887150742738,0.0017636026512648922,0.005051043242897637
1,515786,16243,181,414,0.03149174269949165,0.0003509207306906353,0.0008026584668835526
1,299545,3002,148,703,0.01002186649752124,0.0004940826920829924,0.0023468927873942147
1,868892,15408,849,1667,0.017732928833502897,0.0009771064758335903,0.0019185353300525266
1,1644841,54133,883,5178,0.03291077982613517,0.0005368300036295301,0.0031480246418954783
1,152909,145,40,159,0.0009482764258480533,0.0002615934967856699,0.0010398341497230381
1,1480204,34548,2805,6158,0.023340026104509918,0.0018950090663178854,0.004160237372686467
1,743144,59582,8526,9152,0.08017557835358961,0.011472877396574554,0.012315244421000508
1,1752831,36994,2137,4048,0.02110528624836051,0.0012191705874667895,0.002309406896614677
1,1485609,65016,1747,7996,0.04376387057428974,0.0011759487186736215,0.0053823044960013035
1,431877,3808,203,883,0.008817325303269218,0.0004700412385933958,0.0020445636141771853
1,119425,2499,480,825,0.02092526690391459,0.004019258949131254,0.006908101318819342
1,2113121,138786,983,31462,0.06567820773159701,0.00046518869482627833,0.014888877636443913
1,555314,16935,181,406,0.030496259773749625,0.00032594171945962106,0.0007311178900585973
1,994404,51860,831,1400,0.05215184170618783,0.0008356764453883933,0.0014078784880189538
1,415706,8873,163,709,0.02134441167555917,0.0003921040350632418,0.0017055322752137327
1,1827786,57103,955,5467,0.031241622378112094,0.0005224900508046347,0.002991050374606217
1,221052,178,47,218,0.0008052403959249408,0.0002126196551037765,0.0009861932938856016
1,1614392,36163,3066,6371,0.02240038354996804,0.0018991669928988745,0.003946377335863904
1,1325804,81361,13553,12297,0.06136729109280105,0.0102224763238005,0.009275126640136851
1,2096711,49453,2641,4983,0.02358598776846213,0.0012595918083131152,0.0023765793187520835
1,306917,11727,366,700,0.03820902719627782,0.0011925048140050893,0.0022807469120315915
1,563636,10716,213,840,0.019012270330496992,0.0003779034696151417,0.0014903235421442208
1,174274,3013,559,976,0.01728886695663151,0.0032075926414726237,0.0056003764187429
1,1595860,67255,1342,1886,0.04214342110210169,0.0008409258957552668,0.0011818079280137355
1,511957,4206,244,960,0.008215533726465309,0.00047660252716536736,0.0018751574839293145
1,177391,1461,26,412,0.008236043542231567,0.00014656887891719423,0.002322553004380155
1,2179638,140225,1003,31851,0.06433407749360215,0.0004601681563635797,0.014612977017284522
1,466745,94363,1594,8484,0.2021724924744775,0.0034151410298985533,0.018176948869296942
1,229494,182,52,346,0.0007930490557487343,0.0002265854444996384,0.0015076646884014395
1,1214433,34908,1114,6506,0.028744278194021405,0.0009173005015509297,0.0053572325521457345
1,100529,8215,72,230,0.08171771329666068,0.000716211242527032,0.00228789702473913
1,680954,10165,371,915,0.014927586885457757,0.0005448238794397274,0.0013437030988877367
1,87766,368,25,38,0.004192967664015678,0.0002848483467401955,0.0004329694870450972
1,123565,3175,628,441,0.025694978351474933,0.005082345324323231,0.003568971796220613
1,1924017,58445,978,5647,0.030376550726942637,0.0005083115169980307,0.0029350052520325967
1,62735,4274,25,705,0.06812783932414122,0.00039850163385669884,0.011237746074758907
1,401601,36268,211,4927,0.09030854006837633,0.0005253970981147955,0.012268395746026528
1,449439,15176,537,815,0.03376654006439138,0.0011948228791893894,0.0018133717812650887
1,1683925,91286,15477,13660,0.05421025283192541,0.0091910269162819,0.00811200023754027
1,627390,13184,637,1704,0.02101404230223625,0.0010153174261623554,0.002716013962606991
1,365078,15873,496,1074,0.04347837996263812,0.0013586137756862915,0.0029418370868691075
1,62269,1671,50,1350,0.026835182835760973,0.0008029677688737574,0.02168012975959145
1,2493439,58276,2835,4510,0.02337173678602124,0.0011369839005485995,0.001808746875299536
1,661184,118254,2004,10063,0.17885187784338397,0.0030309263382054014,0.015219666537605266
1,446220,25753,387,4723,0.057713683833086823,0.0008672851956434046,0.010584465062077004
1,177690,180,49,297,0.0010130001688333614,0.00027576115707130395,0.0016714502785750464
1,267787,6065,853,620,0.022648597579419463,0.003185367474896093,0.002315272959478989
1,451655,3317,67,153,0.007344101139143816,0.0001483433151409815,0.00033875413756074885
1,809205,11370,401,1070,0.014050827664188926,0.0004955480996780791,0.0013222854530063454
1,194048,8826,66,1315,0.04548359168865435,0.00034012203166226915,0.006776673812664908
1,101871,410,27,42,0.004024697902248923,0.000265041081367612,0.00041228612657184083
1,775577,59932,426,7480,0.07727408110348813,0.0005492684801122261,0.009644432467698244
1,498249,16228,586,845,0.032570060351350426,0.0011761187679252742,0.001695939179004875
1,125768,9461,91,250,0.0752258126073405,0.0007235544812670949,0.0019877870364480637
1,1304398,36471,1180,7341,0.02796002447105868,0.0009046318684941252,0.005627883514080825
1,111153,1427,107,680,0.012838160013674844,0.0009626370858186463,0.006117693629501678
1,3751723,31589,2391,2200,0.008419864686172195,0.0006373071785950082,0.0005863972366829854
1,743398,127527,2177,10661,0.17154606280888568,0.002928444790004816,0.014340904871952843
1,168757,15451,117,464,0.09155768353312753,0.0006933045740324847,0.0027495155756501947
1,146777,147,43,179,0.001001519311608767,0.00029296143128691824,0.0012195371209385664
1,53986,34,33,5,0.0006297929092727744,0.0006112695884118106,9.261660430481976e-05
1,665956,32578,564,6011,0.04891914781156713,0.0008469027983830764,0.009026121845887716
1,117567,581,52,48,0.004941862937729124,0.0004423009858208512,0.00040827783306540097
1,360057,7667,987,765,0.021293850695862045,0.0027412326381656238,0.0021246635949308027
1,871251,11982,420,977,0.013752638447473806,0.00048206544382732423,0.0011213760443316565
1,492866,3502,72,170,0.007105379555497844,0.00014608433123810532,0.0003449213376455264
1,29208,326,31,344,0.011161325664201591,0.0010613530539578195,0.011777595179402904
1,40172,188,7,18,0.004679876530917056,0.00017425072189584785,0.0004480732848750374
1,205328,2177,165,1020,0.01060254811813294,0.0008035923010987298,0.004967661497701239
1,223547,9714,71,1445,0.043453949281359185,0.0003176065883237082,0.006463965072221949
1,873977,63809,453,7389,0.07300993046727773,0.0005183202761628738,0.008454455895292439
1,263369,19292,229,556,0.07325083817761392,0.0008695024851064476,0.0021111064703894537
1,148307,161,35,191,0.0010855859804324813,0.00023599695226793072,0.0012878690823764222
1,794758,132551,2256,10722,0.16678158634452248,0.002838599926015215,0.013490899116460607
1,65787,44,37,6,0.0006688251478255582,0.0005624211470351287,9.120342924893975e-05
1,356474,11261,290,368,0.031589961680234736,0.000813523566936158,0.0010323333539051936
1,117178,2537,49,586,0.021650821826622747,0.0004181672327570021,0.005000938742767414
1,88259,319,41,42,0.0036143622746688717,0.0004645418597536795,0.00047587214901596435
1,68892,357,20,20,0.005182024037624107,0.000290309469894908,0.000290309469894908
1,420839,8607,1055,761,0.020452001834430744,0.002506896936833326,0.0018082924823982567
1,62403,256,7,19,0.0041023668733874965,0.00011217409419418938,0.0003044725413842283
1,1758327,57624,3122,9230,0.032772061169509425,0.0017755514190477652,0.005249308006986186
1,652650,43248,585,3849,0.06626522638473914,0.0008963456676626063,0.005897494828774994
1,322034,21163,290,664,0.06571666345789574,0.0009005260314128322,0.002061894085717657
1,495312,17962,408,2572,0.03626401137061085,0.0008237232289950577,0.005192686629841393
1,162592,143,42,130,0.0008795020665223381,0.0002583152922653021,0.0007995473332021256
1,777123,4052,402,420,0.005214103816255599,0.0005172926293521104,0.0005404549858902645
1,462097,12987,344,385,0.028104488884368437,0.0007444324460015969,0.0008331584061355082
1,245637,4137,79,706,0.016841925279986326,0.0003216127863473337,0.002874159837483766
1,844425,137263,2340,11031,0.1625520324481156,0.0027711164401811885,0.013063327116084909
1,227718,3707,159,465,0.016278906366646466,0.0006982320238189339,0.0020419993149421653
1,1382057,65740,1198,6308,0.04756677908364127,0.0008668238719531827,0.004564211172187544
