category_id,views,likes,dislikes,comment_count,likeratio,dislikeratio,commentratio
1,826059,3543,119,340,0.004289039886981439,0.00014405750678825603,0.00041159287653787436
1,50867,715,238,246,0.01405626437572493,0.004678868421569977,0.0048361413096899755
1,288922,7515,792,2111,0.026010480337253655,0.002741224275063858,0.007306470258408844
1,52591,2233,187,255,0.0424597364568082,0.0035557414766785186,0.004848738377288889
1,1751064,16430,945,1231,0.009382866645650871,0.0005396718794972656,0.0007030011467313588
1,2736733,58967,3492,7915,0.02154649357463808,0.0012759739441151182,0.0028921345268245018
1,296434,3327,142,377,0.011223408920704102,0.0004790273720288496,0.0012717839384146221
1,12609,40,79,17,0.003172337219446427,0.006265366008406693,0.0013482433182647315
1,829132,25109,316,3428,0.030283477178543343,0.0003811214619626308,0.004134444213949045
1,394709,25188,281,1345,0.0638141010212587,0.0007119168805373072,0.0034075736808636234
1,2671756,12699,505,1010,0.004753053796828752,0.00018901426627281832,0.00037802853254563664
1,246134,5847,337,544,0.02375535277531751,0.0013691728895642212,0.002210178195617021
1,42336,4293,89,428,0.1014030612244898,0.0021022297808012094,0.01010959939531368
1,58469,828,253,271,0.014161350459217703,0.0043270793069831864,0.00463493475174879
1,56372,2332,191,261,0.041368055062797136,0.003388206911232527,0.004629958135244448
1,1996082,18992,1049,1322,0.009514639178149995,0.0005255295123146244,0.0006622974406863045
1,2844271,60500,3667,8122,0.021270828271989558,0.001289258302039433,0.0028555647475223
1,366814,4099,172,449,0.011174600751334463,0.00046890249554270007,0.0012240536075504207
1,3979891,151850,2378,8079,0.03815431126128832,0.0005975038009834943,0.0020299550917349247
1,1496471,43974,2045,9442,0.02938513342390197,0.0013665483661226981,0.006309510842508809
1,1251180,32186,455,4166,0.02572451605684234,0.0003636567080675842,0.0033296568039770462
1,520049,28187,452,1607,0.05420066186070928,0.0008691488686642991,0.0030900934335033807
1,17129,455,18,101,0.026563138536984058,0.001050849436627941,0.005896432949967891
1,62185,4369,82,867,0.07025810082817399,0.0013186459757176167,0.013942269035941144
1,264129,6161,356,579,0.023325723415452297,0.0013478262515664696,0.0021921106731937804
1,46308,4511,91,442,0.09741297400017276,0.0019651032219055024,0.009544787077826723
1,58604,828,253,305,0.0141287284144427,0.0043171114599686025,0.005204422906286261
1,5119,20,1,3,0.003907013088493847,0.0001953506544246923,0.0005860519632740769
1,59168,2412,193,274,0.040765278528934565,0.003261898323418064,0.004630881557598702
1,2122489,20085,1104,1321,0.009462946568863257,0.0005201440384378906,0.0006223824952685268
1,6659676,223821,4515,11792,0.03360839175959912,0.0006779609098100267,0.0017706567106267634
1,2336528,6729,167,1286,0.00287991412899824,7.14735710421617e-05,0.0005503892955701793
1,1716572,46900,2404,10160,0.027321895032658108,0.00140046557907271,0.005918772996413783
1,1351046,33595,496,4344,0.024865918702990132,0.0003671229551029351,0.0032152865261434477
1,575434,29299,514,1749,0.05091635183183475,0.0008932388423346552,0.0030394450102009963
1,66349,4544,87,887,0.06848633739770002,0.0013112480971830774,0.013368701864383787
1,277792,6408,371,591,0.023067618937910383,0.001335531620781016,0.0021274910724570907
1,48179,4603,92,446,0.09553955042653438,0.0019095456526702504,0.009257145229249258
1,58689,831,253,306,0.014159382507795328,0.004310858934382935,0.0052139242447477386
1,5318,20,1,3,0.00376081233546446,0.00018804061677322298,0.0005641218503196692
1,3252728,10779,282,1949,0.003313833803502783,8.669645909525789e-05,0.0005991893573640343
1,8291139,254158,5437,11910,0.0306541718815714,0.0006557603243655668,0.0014364733241114401
1,46197,3794,254,889,0.08212654501374549,0.0054981925233240254,0.019243673831634087
1,1836995,48570,2523,10096,0.026439919542513724,0.0013734386865505894,0.005495932215384364
1,1408656,34417,506,3703,0.02443250871752933,0.00035920764189411745,0.0026287468338614963
1,596888,29736,523,1768,0.04981839139000952,0.0008762112825186634,0.0029620297275200712
1,68585,4630,91,932,0.06750747247940511,0.0013268207333965152,0.013588977181599477
1,49451,4666,92,447,0.09435602920062283,0.0018604274938828333,0.009039250975713332
1,292891,6725,386,598,0.022960760146266017,0.001317896418804265,0.002041715177318525
1,4707527,157931,2072,23205,0.03354861267922627,0.0004401461744138695,0.004929339757371545
1,4116378,13119,349,2394,0.0031870250982781465,8.478327306190053e-05,0.0005815792427226071
1,9779219,283197,6202,13116,0.028959061045672464,0.0006342019746157642,0.0013412113993970275
1,58760,4314,337,880,0.07341729067392784,0.005735194009530293,0.014976174268209666
1,1940520,50156,2652,10413,0.02584668027126749,0.0013666439923319526,0.005366087440479872
1,1455500,35048,524,3808,0.024079697698385437,0.00036001374098248025,0.002616283064239093
1,15382,33,1,10,0.00214536471200104,6.50110518788194e-05,0.000650110518788194
1,612546,30139,527,1774,0.049202835378893986,0.0008603435497089197,0.002896109026913897
1,70382,4691,92,907,0.06665056406467562,0.001307152396919667,0.01288681765224063
1,9920833,262448,4684,35134,0.02645423020425805,0.000472137773108367,0.003541436490262461
1,165139,3496,471,557,0.021170044629070052,0.002852142740358123,0.003372916149425635
1,4251667,14290,375,2600,0.003361034624771884,8.820069869065475e-05,0.0006115248442552062
1,10729515,300465,6613,13980,0.028003595689087533,0.0006163372715355728,0.0013029479897274016
1,61690,4483,377,957,0.07266980061598315,0.006111201167125952,0.015513049116550494
1,2031003,51470,2744,10669,0.02534215852955412,0.0013510565961744026,0.005253069542487136
1,1501028,35634,537,3971,0.0237397303714521,0.0003577548186975859,0.0026455202701082194
1,15476,34,1,10,0.002196950116309124,6.461617989144482e-05,0.0006461617989144483
1,631000,30664,536,1806,0.048595879556259915,0.0008494453248811411,0.002862123613312203
1,71707,4739,93,913,0.06608838746565886,0.001296944510298855,0.012732369224761878
1,1145941,15400,3484,3313,0.0134387372473801,0.0030402961409007967,0.002891073798738329
1,14476491,332269,6789,42047,0.022952316276092045,0.00046896723798605614,0.0029045022029164386
1,1609627,22942,1590,2314,0.014252991531578434,0.0009878064918145632,0.0014376001396596849
1,15058,0,0,0,0.0,0.0,0.0
1,4328193,14934,390,2670,0.0034504006637411963,9.010688756254632e-05,0.0006168856148512786
1,11362593,311331,6888,13985,0.02739964372568832,0.0006061996588278749,0.0012307930064906838
1,65758,4691,418,1033,0.0713373277776088,0.006356641017062563,0.01570911524073117
1,2098612,52336,2839,10848,0.02493838784873049,0.001352798897557052,0.005169130835047164
1,1531538,36000,546,4115,0.02350578307557501,0.000356504376646221,0.002686841593221977
1,643737,31028,536,1827,0.048199808306808534,0.0008326381736640894,0.0028381155658289024
1,1627849,20223,4632,4416,0.012423142441344376,0.0028454727680515823,0.0027127823280906275
1,17613871,369518,7892,45240,0.02097880698683441,0.00044805596680025643,0.002568430301323315
1,1902537,25343,1904,2708,0.013320634500143756,0.001000768973218392,0.0014233625942622929
1,34207,0,0,0,0.0,0.0,0.0
1,27225,1966,47,374,0.07221303948576675,0.001726354453627181,0.013737373737373736
1,4384273,15348,400,2706,0.0035006944138743184,9.123519452369868e-05,0.0006172060909528216
1,11907002,320679,7145,14357,0.02693196826539544,0.0006000670865764532,0.0012057611143426366
1,104510,2182,273,365,0.020878384843555642,0.0026121902210314804,0.003492488757056741
1,1273343,32935,1209,5223,0.025864986888842992,0.0009494692317780834,0.004101801321403581
1,1586719,43567,927,5865,0.02745728764828555,0.0005842244278917693,0.003696306655431743
1,42513,854,7,120,0.020087973090584056,0.00016465551713593492,0.002822666008044598
1,153898,7551,1028,1904,0.04906496510675902,0.006679748924612406,0.01237183069305644
1,1803225,21804,4937,4723,0.012091669092875266,0.002737872423019867,0.0026191961624312
1,19999878,395711,8694,46761,0.019785670692591226,0.0004347026516861753,0.002338064262192
1,1984712,26021,1965,2811,0.013110718330921565,0.0009900680804066284,0.0014163263989939096
1,36137,0,0,0,0.0,0.0,0.0
1,29607,2055,50,369,0.06940926132333569,0.0016887898132198467,0.012463268821562469
1,4428937,15617,411,2740,0.0035261282786366115,9.279879122236328e-05,0.0006186586081490887
1,12382809,328876,7238,14836,0.026559078800294827,0.0005845200390315315,0.0011981126414854655
1,133924,3251,47,441,0.02427496191870016,0.0003509453122666587,0.0032929123980765212
1,235270,3110,623,627,0.013218854932630595,0.0026480214221957753,0.0026650231648744
1,1556203,36243,1570,5692,0.02328937805671882,0.0010088658099232557,0.0036576205032376884
1,1861361,47240,1156,5700,0.025379278925474424,0.0006210509406826512,0.0030622753995597843
1,208376,8646,1464,2281,0.0414923023764733,0.00702576112412178,0.010946558144891929
1,1921050,22530,5069,5172,0.011727961271179824,0.002638661148850889,0.0026922776606543297
1,22118673,410051,9540,45689,0.01853867996511364,0.0004313097806545628,0.0020656302482522345
1,2021002,26338,1987,2814,0.013032149399159428,0.0009831756722655397,0.00139237863198552
1,36579,0,0,0,0.0,0.0,0.0
1,31636,2108,290,631,0.06663294980402074,0.009166772031862436,0.01994563155898344
1,5997,16,0,4,0.002668000667000167,0.0,0.0006670001667500418
1,4465685,15882,417,2758,0.003556453265288528,9.337873137043924e-05,0.0006175984199512504
1,256886,5791,84,724,0.022543073581277297,0.00032699329663741887,0.002818370794827277
1,296868,3435,806,734,0.011570799143053478,0.0027150113855316173,0.002472479351092068
1,1862249,38625,1850,6017,0.02074105020327572,0.0009934224692831088,0.003231039458203495
1,2181405,49608,1362,6094,0.022741306634943996,0.0006243682397353999,0.0027936123736765983
1,258641,9422,1774,2579,0.03642887245255006,0.006858928012186776,0.00997135024996037
1,2085048,23136,5247,5304,0.011096147426821829,0.0025164888290341515,0.002543826329178033
1,26072307,421289,11173,46619,0.016158485706692545,0.0004285389858289103,0.0017880657818274387
1,36931,0,0,0,0.0,0.0,0.0
1,2069960,26852,2020,2880,0.01297223134746565,0.0009758642679085586,0.0013913312334537865
1,32642,2137,345,659,0.06546780221800133,0.010569205318301574,0.020188713926842718
1,6046,16,0,4,0.002646377770426729,0.0,0.0006615944426066821
1,4499836,16135,432,2809,0.0035856862338983025,9.600349879417828e-05,0.0006242449724834416
1,76217,3797,135,636,0.04981828201057507,0.001771258380676227,0.008344595037852448
1,355711,7620,126,966,0.02142188461981777,0.00035422013938281365,0.002715687735268237
1,328674,3634,921,703,0.0110565484340106,0.0028021687142883228,0.0021388975093862
1,2498437,51600,1555,6193,0.020652912200707883,0.0006223891176763712,0.0024787497143213943
1,2077292,40364,2051,6444,0.019431066985286613,0.0009873431371227538,0.0031021156390146397
1,292982,9945,1921,2783,0.03394406482309493,0.006556716794888423,0.00949887706411998
1,17592,185,22,60,0.01051614370168258,0.0012505684402000909,0.003410641200545703
1,2230014,23707,5378,5447,0.010630874963116823,0.0024116440524588638,0.002442585562243107
1,29964922,431134,12821,47119,0.01438795669149414,0.0004278669572375326,0.0015724719723949224
