likes,dislikes,views,comment_count,category_id
61.09,0.5,1122.3,5.36,10
65.44,0.48,1570.29,4.43,10
7.8,0.14,121.22,1.28,10
82.47,0.62,1012.46,3.96,10
76.26,0.53,1203.26,10.85,10
48.57,0.05,260.11,2.6,10
1970.42,31.39,24550.67,113.5,10
42.6,0.18,978.47,1.41,10
67.7,0.39,1484.71,8.89,10
1.6,0.02,32.97,0.06,10
87.33,0.65,1609.71,4.81,10
61.09,0.5,1122.3,5.36,10
65.44,0.48,1570.29,4.43,10
7.8,0.14,121.22,1.28,10
82.47,0.62,1012.46,3.96,10
76.26,0.53,1203.26,10.85,10
17.23,0.13,286.72,0.95,10
30.42,1.2,1645.88,11.48,10
27.58,0.6,649.85,2.01,10
104.99,1.31,3752.04,8.45,10
7.97,0.11,165.73,0.0,10
91.03,0.27,1245.0,5.91,10
10.61,0.04,223.76,1.34,10
4.53,0.19,329.24,1.16,10
9.32,0.05,139.99,2.27,10
27.99,0.13,467.39,2.56,10
22.35,0.11,412.52,3.56,10
17.23,0.13,286.72,0.95,10
30.42,1.2,1645.88,11.48,10
27.58,0.6,649.85,2.01,10
104.99,1.31,3752.04,8.45,10
7.97,0.11,165.73,0.0,10
91.03,0.27,1245.0,5.91,10
0.0,0.0,105.41,0.02,10
0.0,0.0,128.44,0.0,10
0.0,0.0,105.41,0.02,10
0.0,0.0,128.44,0.0,10
6.41,0.54,154.91,0.54,10
59.08,0.06,335.25,5.88,10
776.23,18.64,12734.9,35.75,10
53.3,0.04,416.56,5.76,10
28.55,2.92,1318.26,3.54,10
35.87,0.39,669.04,2.4,10
2.61,0.01,128.95,0.11,10
289.47,0.49,1439.2,21.55,10
23.44,0.14,383.36,1.5,10
1.04,0.04,46.45,0.16,10
55.21,0.66,552.35,5.13,10
62.46,0.27,576.19,10.43,10
28.55,2.92,1318.26,3.54,10
35.87,0.39,669.04,2.4,10
22.78,0.33,575.09,2.01,10
13.31,0.14,122.18,0.91,10
32.45,0.99,2219.74,1.91,10
27.9,1.73,567.26,3.64,10
270.59,4.82,2436.35,27.32,10
109.0,0.3,1095.0,16.72,10
0.0,0.0,56.79,0.0,10
22.78,0.33,575.09,2.01,10
13.31,0.14,122.18,0.91,10
32.45,0.99,2219.74,1.91,10
27.9,1.73,567.26,3.64,10
50.79,0.46,556.89,4.29,10
284.73,1.94,2282.49,28.99,10
1526.93,2.7,5391.49,99.93,10
49.21,0.56,1555.62,4.69,10
29.69,0.35,392.38,3.0,10
50.79,0.46,556.89,4.29,10
284.73,1.94,2282.49,28.99,10
1526.94,2.7,5391.49,99.93,10
49.21,0.56,1555.62,4.69,10
29.69,0.35,392.38,3.0,10
430.07,20.24,5851.7,63.39,10
3.99,0.02,35.8,0.0,10
1098.88,18.29,13328.32,116.91,10
25.46,0.23,679.81,1.88,10
18.53,0.53,456.25,2.08,10
340.91,2.57,3780.11,31.4,10
121.53,0.51,840.66,12.91,10
430.07,20.24,5851.7,63.39,10
2190.05,102.56,39340.84,158.46,10
5.48,0.2,127.07,0.0,10
3802.53,40.84,45698.86,336.02,10
46.64,0.24,887.33,1.88,10
2380.99,31.49,23622.55,210.7,10
1.94,0.35,1020.55,0.14,10
9124.46,67.8,95288.46,662.63,10
22.69,0.05,377.55,0.98,10
14.48,0.16,494.12,5.74,10
2.53,0.04,98.93,0.0,10
5.67,0.01,72.58,0.6,10
1.84,0.27,318.35,0.92,10
211.28,3.24,2888.9,21.72,10
29.89,0.09,289.46,2.49,10
154.73,0.44,1650.02,22.31,10
4294.01,33.97,28449.96,651.78,10
47.26,0.35,812.1,6.28,10
2.91,0.06,183.55,0.33,10
155.61,1.09,1493.97,15.04,10
14.57,0.1,69.97,0.83,10
