likes,dislikes,views,comment_count,category_id
39.19,0.8,927.85,8.98,10.0
52.59,2.6,5594.63,7.93,10.0
2.28,0.07,336.57,0.2,10.0
9.72,0.8,1863.02,2.59,10.0
26.44,0.81,3206.34,7.39,10.0
125.15,12.85,21120.69,52.61,10.0
28.38,0.43,1977.14,5.77,10.0
98.78,3.72,10790.75,11.93,10.0
32.56,4.59,5735.04,4.53,10.0
91.01,4.64,13155.23,13.26,10.0
15.49,0.54,1837.1,3.82,10.0
4.19,0.22,276.83,0.74,10.0
5.76,1.35,2609.4,1.87,10.0
10.46,0.4,1822.64,3.56,10.0
0.4,0.01,109.28,0.45,10.0
1.27,0.04,207.24,0.62,10.0
5.13,0.97,1955.91,2.75,10.0
41.52,0.83,1015.48,9.25,10.0
32.83,6.18,10906.45,5.97,10.0
32.2,1.73,5743.73,6.71,10.0
34.46,0.75,2709.6,6.72,10.0
133.22,14.15,23633.37,55.06,10.0
36.34,5.36,7153.67,4.74,10.0
102.57,3.85,11432.06,12.38,10.0
25.73,1.07,3427.98,6.31,10.0
99.28,5.05,14225.43,15.51,10.0
1.89,0.07,276.92,1.01,10.0
4.81,0.27,343.99,0.77,10.0
6.08,1.47,2833.8,1.93,10.0
10.59,0.4,1849.59,3.6,10.0
74.98,15.87,21749.46,16.55,10.0
37.8,0.92,3170.89,7.17,10.0
51.19,3.06,9934.67,10.56,10.0
138.93,14.96,25660.11,57.75,10.0
38.4,5.93,8132.2,4.86,10.0
36.92,1.65,5467.0,8.48,10.0
106.51,4.0,11946.51,12.58,10.0
11.8,0.46,1281.67,1.04,10.0
2.12,0.1,381.39,1.27,10.0
107.72,5.29,15123.65,16.72,10.0
5.13,0.28,387.22,0.78,10.0
2.75,0.06,378.21,0.49,10.0
13.82,0.89,3199.73,2.01,10.0
53.85,3.22,10621.06,11.15,10.0
40.97,1.11,3878.69,7.8,10.0
41.49,1.88,6689.49,9.53,10.0
142.41,15.65,27333.42,58.05,10.0
13.71,0.63,1751.95,1.22,10.0
9.4,3.32,4366.47,2.2,10.0
9.29,0.66,2229.75,1.96,10.0
21.21,0.79,997.26,7.59,10.0
1.53,0.02,274.57,0.06,10.0
1.54,0.1,423.33,1.11,10.0
2.14,0.27,1134.64,0.96,10.0
16.78,0.34,1255.54,5.41,10.0
16.7,1.07,4452.14,2.25,10.0
21.88,8.72,12428.33,5.11,10.0
6.8,0.35,1072.9,4.14,10.0
13.05,0.85,3123.97,2.77,10.0
28.45,1.29,1815.41,8.92,10.0
5.06,0.64,1344.6,2.4,10.0
35.24,0.15,841.57,13.06,10.0
23.18,0.51,1909.56,7.31,10.0
