likes,dislikes,views,comment_count,category_id
128.65,5.87,8928.69,10.24,10.0
232.0,9.51,14144.16,19.79,10.0
254.23,3.69,15033.35,9.63,10.0
276.73,9.18,21082.46,26.77,10.0
176.2,31.79,28722.3,36.0,10.0
151.92,10.14,11522.32,16.95,10.0
713.57,52.54,25693.82,166.01,10.0
96.87,0.82,1124.72,6.07,10.0
119.57,27.32,51432.71,16.68,10.0
129.94,5.91,9160.9,10.39,10.0
232.07,9.52,14175.0,19.78,10.0
1480.6,12.62,13917.4,137.31,10.0
417.42,15.0,39672.0,38.96,10.0
214.31,37.6,34071.71,43.83,10.0
160.89,10.84,13052.38,18.11,10.0
735.17,54.7,27301.57,172.71,10.0
97.98,0.85,1161.96,6.1,10.0
120.89,27.4,51617.98,16.7,10.0
130.77,5.97,9279.77,10.48,10.0
232.09,9.52,14195.87,19.76,10.0
2382.47,42.23,34340.39,215.2,10.0
467.83,16.75,52884.03,44.27,10.0
234.19,40.39,35342.46,46.61,10.0
167.12,11.26,14292.45,18.75,10.0
752.34,56.35,28498.38,176.94,10.0
98.86,0.85,1200.68,6.15,10.0
121.8,27.46,51797.85,16.72,10.0
131.18,5.98,9347.83,10.52,10.0
232.13,9.52,14210.26,19.75,10.0
2833.87,53.58,47964.13,245.31,10.0
498.18,18.32,67490.73,46.94,10.0
251.51,42.24,36258.07,48.97,10.0
170.88,11.55,15163.82,19.55,10.0
764.63,57.26,29394.63,179.11,10.0
99.9,0.89,1236.29,6.19,10.0
122.59,27.49,51937.78,16.86,10.0
131.49,6.01,9404.9,10.55,10.0
3082.26,58.33,55041.34,262.98,10.0
515.85,19.07,83323.64,47.67,10.0
264.98,43.2,36922.29,50.43,10.0
174.48,11.71,15762.58,20.03,10.0
775.13,58.26,30174.82,181.64,10.0
100.76,0.89,1263.13,6.23,10.0
123.2,27.5,52053.09,16.86,10.0
131.86,6.03,9455.64,10.57,10.0
3243.55,62.2,60845.53,266.37,10.0
526.3,19.66,84022.5,48.44,10.0
273.22,43.93,37140.56,52.15,10.0
178.03,11.93,16214.34,17.66,10.0
788.01,59.38,30852.06,184.57,10.0
123.83,27.54,52139.26,16.87,10.0
132.33,6.06,9488.93,10.61,10.0
505.03,9.24,16749.24,44.44,10.0
3353.45,65.16,65842.13,273.39,10.0
533.68,20.09,84920.72,49.06,10.0
279.71,44.45,37498.38,53.14,10.0
180.57,12.08,16690.38,17.94,10.0
124.21,27.59,52224.36,16.87,10.0
133.11,6.07,9546.35,10.69,10.0
226.77,5.61,6324.15,21.13,10.0
264.41,2.97,1702.79,15.76,10.0
354.37,4.19,11044.23,10.62,10.0
551.82,10.82,19453.82,49.18,10.0
71.8,5.06,4103.71,5.36,10.0
3424.91,67.2,69398.89,278.72,10.0
538.82,20.25,85562.35,49.38,10.0
182.77,12.2,17062.92,18.48,10.0
124.69,27.64,52297.04,16.89,10.0
153.15,6.53,3086.05,21.48,10.0
65.63,2.89,3859.58,9.75,10.0
407.95,7.56,3510.9,23.3,10.0
400.21,4.86,13083.41,11.56,10.0
575.93,11.57,20915.13,51.76,10.0
80.48,6.37,4741.21,6.09,10.0
3481.51,68.55,72521.31,282.63,10.0
184.2,12.26,17326.17,18.07,10.0
107.11,0.95,1419.54,6.74,10.0
1467.53,25.55,46290.57,154.11,10.0
298.63,17.42,16268.11,41.85,10.0
537.38,20.88,18089.17,57.06,10.0
790.78,10.35,14297.39,24.23,10.0
1965.49,30.42,33829.77,367.36,10.0
246.38,15.87,6885.4,31.3,10.0
218.25,11.64,12215.36,39.52,10.0
594.3,12.13,5799.79,32.64,10.0
309.36,10.51,11043.95,28.89,10.0
502.27,6.67,18109.11,15.19,10.0
108.91,7.62,6195.86,7.7,10.0
3689.84,73.09,84385.68,300.02,10.0
190.22,12.55,18373.51,18.48,10.0
2268.6,50.39,84787.21,222.84,10.0
306.08,18.49,17329.8,43.43,10.0
559.98,22.29,19246.24,58.33,10.0
805.04,10.89,14868.84,24.96,10.0
1982.62,30.76,34671.97,370.33,10.0
248.12,15.9,6967.83,31.61,10.0
220.72,11.88,12561.48,40.47,10.0
600.37,12.24,5876.19,32.64,10.0
311.86,10.56,11216.95,29.27,10.0
502.76,6.69,18162.54,15.19,10.0
111.63,7.64,6298.8,7.7,10.0
3705.9,73.37,85486.52,301.69,10.0
